 商品説明カテゴリ 住まい、インテリア 仏壇、仏具 仏具一般状態 未使用 ☆状 態 ☆新品未使用仏具卸、小売店に納める商品（密教法具）を製造価格で工房より直出品です。サイズ：精密工芸品 唐密真言宗 仏具 金剛盤90㎜ 金剛鈴70㎜ 五鈷杵60㎜ 三鈷杵60㎜ 独鈷杵60㎜ 五点セット 90㎜前後 真鍮磨き仕上 純銅製支払詳細・Yahoo!かんたん決済発送詳細・発送飛脚宅配便(佐川急便)※発送日より約7日～13日で到着。配送日数：通常の目安を記載してあります。繁忙期、販売店の休祝日、税関等の影響で遅れる場合もございます。 ※週末は休日なので、出荷することはできません。 ご落札後24時間内ご連絡を頂きます、 お客様が早くご連絡ほど商品が早く届けます■注意事項※落札後、在庫状況により、商品変更か取引キャンセルか対応する場合がございますので、是非、その時ご理解とご容赦のほどよろしくお願いします※素人採寸ですので参考までにお願いします※色は光の加減で見え方が変わることがありますのでご了承願いします※スムーズに取引できますように心がけておりますので、どうぞよろしくお願いいたします※基本的に入札後、落札後のキャンセルはお受けいたしておりません※著しく評価の悪い方、新規の方は当方の基準で入札を削除する場合がありますいますのでご注意く支払詳細・Yahoo!かんたん決済発送詳細・発送飛脚宅配便(佐川急便)※発送日より約7日～13日で到着。配送日数：通常の目安を記載してあります。繁忙期、販売店の休祝日、税関等の影響で遅れる場合もございます。 ※週末は休日なので、出荷することはできません。 ご落札後24時間内ご連絡を頂きます、 お客様が早くご連絡ほど商品が早く届けます■注意事項※落札後、在庫状況により、商品変更か取引キャンセルか対応する場合がございますので、是非、その時ご理解とご容赦のほどよろしくお願いします※素人採寸ですので参考までにお願いします※色は光の加減で見え方が変わることがありますのでご了承願いします※スムーズに取引できますように心がけておりますので、どうぞよろしくお願いいたします※基本的に入札後、落札後のキャンセルはお受けいたしておりません※著しく評価の悪い方、新規の方は当方の基準で入札を削除する場合がありますいますのでご注意く , 未使用 ,"s782474853
"
" Auction Templates オクのミカタ ヤフオクの商品追加画像をカンタンに追加. 香炉 ◇寸法と状態 寸法：幅16 奥行き12 高さ14 ㎝ 大体の寸法です。 状態；経年の傷み、汚れ、サビあります。 細かい所を気にされる方は入札を控えてください。 ◇注意事項 納金金額は落札金額＋送料です。 ノークレーム、ノーリターンでお願いいします。 受取連絡が出来る落札者のみ入札をお願いいたします。 大きさを比較する物は含まれません。 写真の色はお使いのモニターによって見え方が異なります。また光の加減により正確な色が写っていません。 落札から 48時間以内のご連絡、3日以内にご入金可能な方。 大変申し訳ございません。勝手ながら評価などよりお取引に不安を感じた時には入札を取り消しさせていただく場合があります。 土日祝日に発送、連絡、質問の答える事が出来ませんのでご了承下さい。 迅速な発送を心がけておりますが、 年末年始、ゴールデンウィーク、お盆などの長期連休が重なった場合や、諸事情により発送が遅れてしまう場合もございますのでご了承下さい。 ◆同梱、取り置きに付いて。 私供が同梱出来ると判断しました出品品だけ。 同週2出品だけと去せて下さい。 最初の出品品を落札されまして、最初の連絡で同梱、取り置きの連絡をもらいました時だけです。 その時送料が変わる事が有りますので同梱しまして送料、梱包材費を含め連絡します。 大きな出品品は出来ません。 ◇送料 発送方法：ゆうパック 広島：1,010円 近畿;奈良 滋賀 京都 大阪 兵庫 和歌山：1,080円 中国;岡山 鳥取 島根 山口：1,080円 四国;徳島 香川 愛媛 高知：1,080円 九州;福岡 佐賀 長崎 熊本 大分 宮崎 鹿児島：1,080円 北陸;富山 石川 福井：1,180円 東海;静岡 愛知 岐阜 三重：1,180円 関東;茨城 栃木 群馬 埼玉 千葉 東京 神奈川 山梨：1,290円 信越;新潟 長野：1,290円 東北：青森 岩手 宮城 秋田 山形 福島：1,500円 沖縄：1,480円 北海道：1,720円 発送方法はゆうパックだけです。 ◇その他 基本的に、商品は一点ものとなり、中古やアンティーク、ヴィンテ－ジ品を数多く扱っております。・古いモノですので完全な動作や状態を保証できません。メンテナンス・修理が必要な場合落札者様でお願いします。その他不明な点がございましたら、当方がわかる範囲にてお答えいたします。動作確認時から日数を経ることにより必ずしもその状態のままとは限りません。未使用やデッドストック品も含め今後の動作の保証はできません。専門的な知識のない商品も数多くあり、完全な動作・状態・作製年代などを保証できません。商品特性をご理解いただき全商品ノークレームノーリターンでお願いします。 年代、産地は素人見です。 + + + この商品説明はオークションプレートメーカー２で作成しました + + + No.202.001.004 ", 傷や汚れあり ,"l642441218
"
" Auction Templates オクのミカタ ヤフオクの商品追加画像をカンタンに追加. 香炉 ◇寸法と状態 寸法：幅16 奥行き12 高さ14 ㎝ 大体の寸法です。 状態；経年の傷み、汚れ、サビあります。 細かい所を気にされる方は入札を控えてください。 ◇注意事項 納金金額は落札金額＋送料です。 ノークレーム、ノーリターンでお願いいします。 受取連絡が出来る落札者のみ入札をお願いいたします。 大きさを比較する物は含まれません。 写真の色はお使いのモニターによって見え方が異なります。また光の加減により正確な色が写っていません。 落札から 48時間以内のご連絡、3日以内にご入金可能な方。 大変申し訳ございません。勝手ながら評価などよりお取引に不安を感じた時には入札を取り消しさせていただく場合があります。 土日祝日に発送、連絡、質問の答える事が出来ませんのでご了承下さい。 迅速な発送を心がけておりますが、 年末年始、ゴールデンウィーク、お盆などの長期連休が重なった場合や、諸事情により発送が遅れてしまう場合もございますのでご了承下さい。 ◆同梱、取り置きに付いて。 私供が同梱出来ると判断しました出品品だけ。 同週2出品だけと去せて下さい。 最初の出品品を落札されまして、最初の連絡で同梱、取り置きの連絡をもらいました時だけです。 その時送料が変わる事が有りますので同梱しまして送料、梱包材費を含め連絡します。 大きな出品品は出来ません。 ◇送料 発送方法：ゆうパック 広島：1,010円 近畿;奈良 滋賀 京都 大阪 兵庫 和歌山：1,080円 中国;岡山 鳥取 島根 山口：1,080円 四国;徳島 香川 愛媛 高知：1,080円 九州;福岡 佐賀 長崎 熊本 大分 宮崎 鹿児島：1,080円 北陸;富山 石川 福井：1,180円 東海;静岡 愛知 岐阜 三重：1,180円 関東;茨城 栃木 群馬 埼玉 千葉 東京 神奈川 山梨：1,290円 信越;新潟 長野：1,290円 東北：青森 岩手 宮城 秋田 山形 福島：1,500円 沖縄：1,480円 北海道：1,720円 発送方法はゆうパックだけです。 ◇その他 基本的に、商品は一点ものとなり、中古やアンティーク、ヴィンテ－ジ品を数多く扱っております。・古いモノですので完全な動作や状態を保証できません。メンテナンス・修理が必要な場合落札者様でお願いします。その他不明な点がございましたら、当方がわかる範囲にてお答えいたします。動作確認時から日数を経ることにより必ずしもその状態のままとは限りません。未使用やデッドストック品も含め今後の動作の保証はできません。専門的な知識のない商品も数多くあり、完全な動作・状態・作製年代などを保証できません。商品特性をご理解いただき全商品ノークレームノーリターンでお願いします。 年代、産地は素人見です。 + + + この商品説明はオークションプレートメーカー２で作成しました + + + No.202.001.004 ", 傷や汚れあり ,"l642441218
"
" Auction Templates オクのミカタ ヤフオクの商品追加画像をカンタンに追加. 香炉 ◇寸法と状態 寸法：幅16 奥行き12 高さ14 ㎝ 大体の寸法です。 状態；経年の傷み、汚れ、サビあります。 細かい所を気にされる方は入札を控えてください。 ◇注意事項 納金金額は落札金額＋送料です。 ノークレーム、ノーリターンでお願いいします。 受取連絡が出来る落札者のみ入札をお願いいたします。 大きさを比較する物は含まれません。 写真の色はお使いのモニターによって見え方が異なります。また光の加減により正確な色が写っていません。 落札から 48時間以内のご連絡、3日以内にご入金可能な方。 大変申し訳ございません。勝手ながら評価などよりお取引に不安を感じた時には入札を取り消しさせていただく場合があります。 土日祝日に発送、連絡、質問の答える事が出来ませんのでご了承下さい。 迅速な発送を心がけておりますが、 年末年始、ゴールデンウィーク、お盆などの長期連休が重なった場合や、諸事情により発送が遅れてしまう場合もございますのでご了承下さい。 ◆同梱、取り置きに付いて。 私供が同梱出来ると判断しました出品品だけ。 同週2出品だけと去せて下さい。 最初の出品品を落札されまして、最初の連絡で同梱、取り置きの連絡をもらいました時だけです。 その時送料が変わる事が有りますので同梱しまして送料、梱包材費を含め連絡します。 大きな出品品は出来ません。 ◇送料 発送方法：ゆうパック 広島：1,010円 近畿;奈良 滋賀 京都 大阪 兵庫 和歌山：1,080円 中国;岡山 鳥取 島根 山口：1,080円 四国;徳島 香川 愛媛 高知：1,080円 九州;福岡 佐賀 長崎 熊本 大分 宮崎 鹿児島：1,080円 北陸;富山 石川 福井：1,180円 東海;静岡 愛知 岐阜 三重：1,180円 関東;茨城 栃木 群馬 埼玉 千葉 東京 神奈川 山梨：1,290円 信越;新潟 長野：1,290円 東北：青森 岩手 宮城 秋田 山形 福島：1,500円 沖縄：1,480円 北海道：1,720円 発送方法はゆうパックだけです。 ◇その他 基本的に、商品は一点ものとなり、中古やアンティーク、ヴィンテ－ジ品を数多く扱っております。・古いモノですので完全な動作や状態を保証できません。メンテナンス・修理が必要な場合落札者様でお願いします。その他不明な点がございましたら、当方がわかる範囲にてお答えいたします。動作確認時から日数を経ることにより必ずしもその状態のままとは限りません。未使用やデッドストック品も含め今後の動作の保証はできません。専門的な知識のない商品も数多くあり、完全な動作・状態・作製年代などを保証できません。商品特性をご理解いただき全商品ノークレームノーリターンでお願いします。 年代、産地は素人見です。 + + + この商品説明はオークションプレートメーカー２で作成しました + + + No.202.001.004 ", 傷や汚れあり ,"l642441218
"
 商品説明サイズ 幅 約 11.2ｃｍ 高さ 約 9.7ｃｍ 状態 画像参照 注意事項■ 時代・作家名・状態・材質等は主観に基づき確定するものではありません。入札者の見識により自己責任のもとご自身の納得のいく値段でご入札ください。本物保証と記された商品以外は前述した通り、タイトル説明文と異なる場合もあり得る点再度お伝えします。古物中心の出品の為、全て漏らさず情報を掲載することは困難です。よって画像や説明文以外にも汚れスレなど経年損傷あることを前提の入札とし、与えられた画像と説明より入札者の見識による総合的な価値判断に基づいて入札されたものであると判断致します。その為、万が一掲載画像と説明文の情報の遺漏、誤記があった場合においても入札後及び商品受取後にその点を事由とした入札の取消、返品はお受けできません。 予めご了承ください。■ タイトル・商品説明欄に「保証」と記載されたもので 個人的見解を除き公的に認められた所定鑑定人及び機関の鑑定により贋作と判明した場合は、落札代金、送料とも全額ご返金いたします。その際の返金は落札金額と送料のみで鑑定料及びそれに伴う経費は負担出来かねます。■ 画像は現物を撮影しておりますが、照度、遮光、モニターによっては実物と色目が異なって見えることがありますのでご注意ください。■ お取引につきましてのご連絡 ４８時間以内お支払 １週間以内上記の条件でお願いいたします。（守れない方については不本意ながら取引意思がないと判断させていただく可能性があります。）■返品について① 思っていたイメージと違う、などのお客様主観による返品はお受けできませんので、予めご了承ください。② 商品到着後、8日以上経過した商品はいかなる場合も返品をお受けできません。万が一、当店に原因のある場合には、商品到着日より7日以内にご連絡ください。送料当店負担の上、ご返金させていただきます。（ご返金は弊社検品後となります。）■ キャンセルについて基本的には、お受けしておりません。どうしてもキャンセル希望の場合は、落札金額の20パーセントをお支払いいただきます。■ 同梱・まとめて取引について評価が95％未満の方、総合評価が100以下の方は、対応出来ません。（まとめて取引後削除が出来なくなる為、又当方の判断で対応しない事もあります。）■ 支払金額について落札者様に負担いただく金額については落札金額+送料+お振込み手数料です。（支払方法をご指定されましても記載方法以外の対応はできません。）■ その他の留意点評価が著しく悪い方やこちらが不安になる評価をお持ちの方の入札は、予告無く取り消しをさせていただく場合があります。返品、交換、クレーム、補償無し発送方法の際の補償など一切お受けできません。入金確認・郵送については迅速に対応させていただく予定ですが郵便局営業日の都合上、土日・祝日は発送が出来かねます。以上こちらの条件ばかりで申し訳ございませんが上記すべてにご了承いただける方のみ入札のほうよろしくお願いいたします。■この度は当オークションの商品を閲覧していただき、ありがとうございました。他にも多数の商品を取り扱いしておりますので、是非ご覧になってください。送付方法ゆうパック支払方法Yahoo!かんたん決済（詳細）この商品説明は オークション落札相場サイト「オークファン」出品テンプレート で作成されています。Powered by aucfan.com , 目立った傷や汚れなし ,"j672611811
"
 商品説明サイズ 幅 約 11.2ｃｍ 高さ 約 9.7ｃｍ 状態 画像参照 注意事項■ 時代・作家名・状態・材質等は主観に基づき確定するものではありません。入札者の見識により自己責任のもとご自身の納得のいく値段でご入札ください。本物保証と記された商品以外は前述した通り、タイトル説明文と異なる場合もあり得る点再度お伝えします。古物中心の出品の為、全て漏らさず情報を掲載することは困難です。よって画像や説明文以外にも汚れスレなど経年損傷あることを前提の入札とし、与えられた画像と説明より入札者の見識による総合的な価値判断に基づいて入札されたものであると判断致します。その為、万が一掲載画像と説明文の情報の遺漏、誤記があった場合においても入札後及び商品受取後にその点を事由とした入札の取消、返品はお受けできません。 予めご了承ください。■ タイトル・商品説明欄に「保証」と記載されたもので 個人的見解を除き公的に認められた所定鑑定人及び機関の鑑定により贋作と判明した場合は、落札代金、送料とも全額ご返金いたします。その際の返金は落札金額と送料のみで鑑定料及びそれに伴う経費は負担出来かねます。■ 画像は現物を撮影しておりますが、照度、遮光、モニターによっては実物と色目が異なって見えることがありますのでご注意ください。■ お取引につきましてのご連絡 ４８時間以内お支払 １週間以内上記の条件でお願いいたします。（守れない方については不本意ながら取引意思がないと判断させていただく可能性があります。）■返品について① 思っていたイメージと違う、などのお客様主観による返品はお受けできませんので、予めご了承ください。② 商品到着後、8日以上経過した商品はいかなる場合も返品をお受けできません。万が一、当店に原因のある場合には、商品到着日より7日以内にご連絡ください。送料当店負担の上、ご返金させていただきます。（ご返金は弊社検品後となります。）■ キャンセルについて基本的には、お受けしておりません。どうしてもキャンセル希望の場合は、落札金額の20パーセントをお支払いいただきます。■ 同梱・まとめて取引について評価が95％未満の方、総合評価が100以下の方は、対応出来ません。（まとめて取引後削除が出来なくなる為、又当方の判断で対応しない事もあります。）■ 支払金額について落札者様に負担いただく金額については落札金額+送料+お振込み手数料です。（支払方法をご指定されましても記載方法以外の対応はできません。）■ その他の留意点評価が著しく悪い方やこちらが不安になる評価をお持ちの方の入札は、予告無く取り消しをさせていただく場合があります。返品、交換、クレーム、補償無し発送方法の際の補償など一切お受けできません。入金確認・郵送については迅速に対応させていただく予定ですが郵便局営業日の都合上、土日・祝日は発送が出来かねます。以上こちらの条件ばかりで申し訳ございませんが上記すべてにご了承いただける方のみ入札のほうよろしくお願いいたします。■この度は当オークションの商品を閲覧していただき、ありがとうございました。他にも多数の商品を取り扱いしておりますので、是非ご覧になってください。送付方法ゆうパック支払方法Yahoo!かんたん決済（詳細）この商品説明は オークション落札相場サイト「オークファン」出品テンプレート で作成されています。Powered by aucfan.com , 目立った傷や汚れなし ,"j672611811
"
 商品説明伽羅『銘 村雲』です！とても良い香りのする文句なしの一品です。小さいですが沈水します！注意事項・すべての出品物は骨董品、中古品ですので、説明しきれない時代物としてのスレ、小傷、変色、等ございます。そういった経年の欠点を気になさる方、神経質な方は入札をされない方が良いかと思います。そういう時代感等をご理解していただける方からの入札お待ちしております。また新規の方、極端に悪い評価が多い方のご入札は取り消しさせていただくことがございますので、お求めの際は質問欄より一言頂けると幸いです。・特殊機材による撮影、計測等は行っていませんので、写真による色の誤差や実寸の誤差が生じる場合もございます。・基本的には売り切りですが希望価格に達しない場合取り消しする事がございます。ご了承の上、御入札の程よろしくお願いいたします。・原則ご落札後、一週間以内にご入金出来る方のみご入札お願いします。分かる範囲内でお答え致しますのでご不明点等ございましたらお気軽にご質問ください。落札された場合誠心誠意ご対応させて頂きます , 未使用に近い ,"j697816922
"
 商品説明伽羅『銘 村雲』です！とても良い香りのする文句なしの一品です。小さいですが沈水します！注意事項・すべての出品物は骨董品、中古品ですので、説明しきれない時代物としてのスレ、小傷、変色、等ございます。そういった経年の欠点を気になさる方、神経質な方は入札をされない方が良いかと思います。そういう時代感等をご理解していただける方からの入札お待ちしております。また新規の方、極端に悪い評価が多い方のご入札は取り消しさせていただくことがございますので、お求めの際は質問欄より一言頂けると幸いです。・特殊機材による撮影、計測等は行っていませんので、写真による色の誤差や実寸の誤差が生じる場合もございます。・基本的には売り切りですが希望価格に達しない場合取り消しする事がございます。ご了承の上、御入札の程よろしくお願いいたします。・原則ご落札後、一週間以内にご入金出来る方のみご入札お願いします。分かる範囲内でお答え致しますのでご不明点等ございましたらお気軽にご質問ください。落札された場合誠心誠意ご対応させて頂きます , 未使用に近い ,"j697816922
"
 商品説明伽羅『銘 村雲』です！とても良い香りのする文句なしの一品です。小さいですが沈水します！注意事項・すべての出品物は骨董品、中古品ですので、説明しきれない時代物としてのスレ、小傷、変色、等ございます。そういった経年の欠点を気になさる方、神経質な方は入札をされない方が良いかと思います。そういう時代感等をご理解していただける方からの入札お待ちしております。また新規の方、極端に悪い評価が多い方のご入札は取り消しさせていただくことがございますので、お求めの際は質問欄より一言頂けると幸いです。・特殊機材による撮影、計測等は行っていませんので、写真による色の誤差や実寸の誤差が生じる場合もございます。・基本的には売り切りですが希望価格に達しない場合取り消しする事がございます。ご了承の上、御入札の程よろしくお願いいたします。・原則ご落札後、一週間以内にご入金出来る方のみご入札お願いします。分かる範囲内でお答え致しますのでご不明点等ございましたらお気軽にご質問ください。落札された場合誠心誠意ご対応させて頂きます , 未使用に近い ,"j697816922
"
 商品説明伽羅『銘 村雲』です！とても良い香りのする文句なしの一品です。小さいですが沈水します！注意事項・すべての出品物は骨董品、中古品ですので、説明しきれない時代物としてのスレ、小傷、変色、等ございます。そういった経年の欠点を気になさる方、神経質な方は入札をされない方が良いかと思います。そういう時代感等をご理解していただける方からの入札お待ちしております。また新規の方、極端に悪い評価が多い方のご入札は取り消しさせていただくことがございますので、お求めの際は質問欄より一言頂けると幸いです。・特殊機材による撮影、計測等は行っていませんので、写真による色の誤差や実寸の誤差が生じる場合もございます。・基本的には売り切りですが希望価格に達しない場合取り消しする事がございます。ご了承の上、御入札の程よろしくお願いいたします。・原則ご落札後、一週間以内にご入金出来る方のみご入札お願いします。分かる範囲内でお答え致しますのでご不明点等ございましたらお気軽にご質問ください。落札された場合誠心誠意ご対応させて頂きます , 未使用に近い ,"j697816922
"
 商品説明伽羅『銘 村雲』です！とても良い香りのする文句なしの一品です。小さいですが沈水します！注意事項・すべての出品物は骨董品、中古品ですので、説明しきれない時代物としてのスレ、小傷、変色、等ございます。そういった経年の欠点を気になさる方、神経質な方は入札をされない方が良いかと思います。そういう時代感等をご理解していただける方からの入札お待ちしております。また新規の方、極端に悪い評価が多い方のご入札は取り消しさせていただくことがございますので、お求めの際は質問欄より一言頂けると幸いです。・特殊機材による撮影、計測等は行っていませんので、写真による色の誤差や実寸の誤差が生じる場合もございます。・基本的には売り切りですが希望価格に達しない場合取り消しする事がございます。ご了承の上、御入札の程よろしくお願いいたします。・原則ご落札後、一週間以内にご入金出来る方のみご入札お願いします。分かる範囲内でお答え致しますのでご不明点等ございましたらお気軽にご質問ください。落札された場合誠心誠意ご対応させて頂きます , 未使用に近い ,"j697816922
"
 商品説明伽羅『銘 村雲』です！とても良い香りのする文句なしの一品です。小さいですが沈水します！注意事項・すべての出品物は骨董品、中古品ですので、説明しきれない時代物としてのスレ、小傷、変色、等ございます。そういった経年の欠点を気になさる方、神経質な方は入札をされない方が良いかと思います。そういう時代感等をご理解していただける方からの入札お待ちしております。また新規の方、極端に悪い評価が多い方のご入札は取り消しさせていただくことがございますので、お求めの際は質問欄より一言頂けると幸いです。・特殊機材による撮影、計測等は行っていませんので、写真による色の誤差や実寸の誤差が生じる場合もございます。・基本的には売り切りですが希望価格に達しない場合取り消しする事がございます。ご了承の上、御入札の程よろしくお願いいたします。・原則ご落札後、一週間以内にご入金出来る方のみご入札お願いします。分かる範囲内でお答え致しますのでご不明点等ございましたらお気軽にご質問ください。落札された場合誠心誠意ご対応させて頂きます , 未使用に近い ,"j697816922
"
 希少品！ 【最上】銀造吊香炉 希少品 鳥 花 花鳥風月紋極密細工 23.0㎝ 唐木台 時代大名道具 古玩煎茶道具 仏具 香道 銀瓶 鉄瓶 124 -------商品説明---------------------------------- 【商品情報】 サイズ：台座高さ23.0㎝×幅14.0㎝×奥行7.5㎝・香炉直径5.5㎝ ------- 注意事項 ---------------------------------- ★【状態】 商品自体がたいへん古いものでございますので経年によるスレや傷みがございます。 ※神経質な方の入札はご遠慮ください。 画像たくさん載せておりますのでお確かめください。（※画像に乗っている物が全てです。） 素人の為、タイトルに誤りがあるかもしれません。鑑定書などは付随しておりませんのでお安く出品しております。画像にてご判断いただける方のご入札お願いいたします。 ご新規様のご入札で不審に感じた場合は入札を取消いたします。また、著しく評価の悪い方とのお取引は後のトラブル回避のため遠慮とさせていただきます。それでもご興味がある場合は必ずご入札の意思をご質問よりお願いします。 ★【落札後の注意】 落札後のキャンセルはご遠慮ください。また、落札後にご質問はおやめください。何か商品につてご質問がある場合は必ずご入札前にご質問をお願いいたします。落札者様へのご連絡を申し上げてから3日過ぎましてもご連絡頂けない場合は、誠に残念ながら落札者様都合のキャンセルとさせて頂きますことをご了承ください。 こちらからの評価はしておりませんので、予めご了承くださいませ。土日はお返事ができない場合があります事ご了承くださいませ。 ★【返品について】 基本的には返品はお断りしておりますが当方に不備があり、お取引ナビよりご連絡をいただけた場合は返品をお受けいたします。 落札後のキャンセルはお受けできません。ノークレームノーリターンにてお願いしております。 ------- 発送方法 ---------------------------------- 大阪よりゆうパックにてお届けします。その他定形外やレターパックも対応します。 ------- 支払方法 ---------------------------------- 3/1日よりヤフオクの決済方法が簡単決済のみとなりました。 , 目立った傷や汚れなし ,"d466328274
"
 希少品！ 【最上】銀造吊香炉 希少品 鳥 花 花鳥風月紋極密細工 23.0㎝ 唐木台 時代大名道具 古玩煎茶道具 仏具 香道 銀瓶 鉄瓶 124 -------商品説明---------------------------------- 【商品情報】 サイズ：台座高さ23.0㎝×幅14.0㎝×奥行7.5㎝・香炉直径5.5㎝ ------- 注意事項 ---------------------------------- ★【状態】 商品自体がたいへん古いものでございますので経年によるスレや傷みがございます。 ※神経質な方の入札はご遠慮ください。 画像たくさん載せておりますのでお確かめください。（※画像に乗っている物が全てです。） 素人の為、タイトルに誤りがあるかもしれません。鑑定書などは付随しておりませんのでお安く出品しております。画像にてご判断いただける方のご入札お願いいたします。 ご新規様のご入札で不審に感じた場合は入札を取消いたします。また、著しく評価の悪い方とのお取引は後のトラブル回避のため遠慮とさせていただきます。それでもご興味がある場合は必ずご入札の意思をご質問よりお願いします。 ★【落札後の注意】 落札後のキャンセルはご遠慮ください。また、落札後にご質問はおやめください。何か商品につてご質問がある場合は必ずご入札前にご質問をお願いいたします。落札者様へのご連絡を申し上げてから3日過ぎましてもご連絡頂けない場合は、誠に残念ながら落札者様都合のキャンセルとさせて頂きますことをご了承ください。 こちらからの評価はしておりませんので、予めご了承くださいませ。土日はお返事ができない場合があります事ご了承くださいませ。 ★【返品について】 基本的には返品はお断りしておりますが当方に不備があり、お取引ナビよりご連絡をいただけた場合は返品をお受けいたします。 落札後のキャンセルはお受けできません。ノークレームノーリターンにてお願いしております。 ------- 発送方法 ---------------------------------- 大阪よりゆうパックにてお届けします。その他定形外やレターパックも対応します。 ------- 支払方法 ---------------------------------- 3/1日よりヤフオクの決済方法が簡単決済のみとなりました。 , 目立った傷や汚れなし ,"d466328274
"
 希少品！ 【最上】銀造吊香炉 希少品 鳥 花 花鳥風月紋極密細工 23.0㎝ 唐木台 時代大名道具 古玩煎茶道具 仏具 香道 銀瓶 鉄瓶 124 -------商品説明---------------------------------- 【商品情報】 サイズ：台座高さ23.0㎝×幅14.0㎝×奥行7.5㎝・香炉直径5.5㎝ ------- 注意事項 ---------------------------------- ★【状態】 商品自体がたいへん古いものでございますので経年によるスレや傷みがございます。 ※神経質な方の入札はご遠慮ください。 画像たくさん載せておりますのでお確かめください。（※画像に乗っている物が全てです。） 素人の為、タイトルに誤りがあるかもしれません。鑑定書などは付随しておりませんのでお安く出品しております。画像にてご判断いただける方のご入札お願いいたします。 ご新規様のご入札で不審に感じた場合は入札を取消いたします。また、著しく評価の悪い方とのお取引は後のトラブル回避のため遠慮とさせていただきます。それでもご興味がある場合は必ずご入札の意思をご質問よりお願いします。 ★【落札後の注意】 落札後のキャンセルはご遠慮ください。また、落札後にご質問はおやめください。何か商品につてご質問がある場合は必ずご入札前にご質問をお願いいたします。落札者様へのご連絡を申し上げてから3日過ぎましてもご連絡頂けない場合は、誠に残念ながら落札者様都合のキャンセルとさせて頂きますことをご了承ください。 こちらからの評価はしておりませんので、予めご了承くださいませ。土日はお返事ができない場合があります事ご了承くださいませ。 ★【返品について】 基本的には返品はお断りしておりますが当方に不備があり、お取引ナビよりご連絡をいただけた場合は返品をお受けいたします。 落札後のキャンセルはお受けできません。ノークレームノーリターンにてお願いしております。 ------- 発送方法 ---------------------------------- 大阪よりゆうパックにてお届けします。その他定形外やレターパックも対応します。 ------- 支払方法 ---------------------------------- 3/1日よりヤフオクの決済方法が簡単決済のみとなりました。 , 目立った傷や汚れなし ,"d466328274
"
 希少品！ 【最上】銀造吊香炉 希少品 鳥 花 花鳥風月紋極密細工 23.0㎝ 唐木台 時代大名道具 古玩煎茶道具 仏具 香道 銀瓶 鉄瓶 124 -------商品説明---------------------------------- 【商品情報】 サイズ：台座高さ23.0㎝×幅14.0㎝×奥行7.5㎝・香炉直径5.5㎝ ------- 注意事項 ---------------------------------- ★【状態】 商品自体がたいへん古いものでございますので経年によるスレや傷みがございます。 ※神経質な方の入札はご遠慮ください。 画像たくさん載せておりますのでお確かめください。（※画像に乗っている物が全てです。） 素人の為、タイトルに誤りがあるかもしれません。鑑定書などは付随しておりませんのでお安く出品しております。画像にてご判断いただける方のご入札お願いいたします。 ご新規様のご入札で不審に感じた場合は入札を取消いたします。また、著しく評価の悪い方とのお取引は後のトラブル回避のため遠慮とさせていただきます。それでもご興味がある場合は必ずご入札の意思をご質問よりお願いします。 ★【落札後の注意】 落札後のキャンセルはご遠慮ください。また、落札後にご質問はおやめください。何か商品につてご質問がある場合は必ずご入札前にご質問をお願いいたします。落札者様へのご連絡を申し上げてから3日過ぎましてもご連絡頂けない場合は、誠に残念ながら落札者様都合のキャンセルとさせて頂きますことをご了承ください。 こちらからの評価はしておりませんので、予めご了承くださいませ。土日はお返事ができない場合があります事ご了承くださいませ。 ★【返品について】 基本的には返品はお断りしておりますが当方に不備があり、お取引ナビよりご連絡をいただけた場合は返品をお受けいたします。 落札後のキャンセルはお受けできません。ノークレームノーリターンにてお願いしております。 ------- 発送方法 ---------------------------------- 大阪よりゆうパックにてお届けします。その他定形外やレターパックも対応します。 ------- 支払方法 ---------------------------------- 3/1日よりヤフオクの決済方法が簡単決済のみとなりました。 , 目立った傷や汚れなし ,"d466328274
"
